source,target,value
JuicyJake1868,TheMelissaBabin,1
JuicyJake1868,BrownTown1868,1
JuicyJake1868,dominikfrank12,1
JuicyJake1868,KLaPietra,1
JuicyJake1868,Anewelly,1
JuicyJake1868,brandinbarker98,1
JuicyJake1868,ClayHarrington1,1
JuicyJake1868,maddieeebeee,1
JuicyJake1868,EmilyRogerss17,1
JuicyJake1868,emilyhellmann,1
JuicyJake1868,PHolland26,1
JuicyJake1868,cmmiller1995,1
JuicyJake1868,jorrdanjones,1
JuicyJake1868,RyleyCantrell,1
JuicyJake1868,FratHQ,1
JuicyJake1868,gallegos_182,1
JuicyJake1868,MillerReef,1
JuicyJake1868,Denis_Vasic,1
JuicyJake1868,jacababy14,1
JuicyJake1868,ThouseMag,1
JuicyJake1868,fearisuronlygod,1
JuicyJake1868,musicislife0314,1
JuicyJake1868,ScottGuter,1
JuicyJake1868,KRitchotte,1
JuicyJake1868,Thunder1045,1
JuicyJake1868,AdamCarroll44,1
JuicyJake1868,Mitch_Rileyy,1
